,detector,false positive rate,score
0,DetectGPT,1e-10,0.2555599972057645
1,DetectGPT,0.0025125629135678393,0.307355344568297
2,DetectGPT,0.005025125727135678,0.3319409300759104
3,DetectGPT,0.007537688540703517,0.35831237395212745
4,DetectGPT,0.010050251354271357,0.3755848654074437
5,DetectGPT,0.012562814167839196,0.39195843991279206
6,DetectGPT,0.015075376981407035,0.4133337750936088
7,DetectGPT,0.017587939794974874,0.42164604914755427
8,DetectGPT,0.020100502608542715,0.4426435859134519
9,DetectGPT,0.022613065422110556,0.45129951997838647
10,DetectGPT,0.025125628235678394,0.46100621467776065
11,DetectGPT,0.02763819104924623,0.46674163114443723
12,DetectGPT,0.030150753862814073,0.4706409808432381
13,DetectGPT,0.032663316676381914,0.4803152994060988
14,DetectGPT,0.03517587948994975,0.48804916305692336
15,DetectGPT,0.03768844230351759,0.4944630797899087
16,DetectGPT,0.04020100511708543,0.49998926819169615
17,DetectGPT,0.04271356793065327,0.5082370827205899
18,DetectGPT,0.04522613074422111,0.515858935357583
19,DetectGPT,0.047738693557788946,0.5220256093366866
20,DetectGPT,0.05025125637135679,0.5287997329953897
21,DetectGPT,0.05276381918492463,0.5318039082631112
22,DetectGPT,0.05527638199849246,0.5394013683699012
23,DetectGPT,0.0577889448120603,0.5458947435050967
24,DetectGPT,0.060301507625628144,0.5520755244086116
25,DetectGPT,0.06281407043919597,0.5567375992030337
26,DetectGPT,0.06532663325276382,0.5640938101006305
27,DetectGPT,0.06783919606633165,0.5693726441762301
28,DetectGPT,0.07035175887989949,0.5765989546963576
29,DetectGPT,0.07286432169346733,0.5830442256378577
30,DetectGPT,0.07537688450703517,0.5869253230753593
31,DetectGPT,0.07788944732060302,0.5902443712016661
32,DetectGPT,0.08040201013417085,0.5936926533533646
33,DetectGPT,0.08291457294773869,0.5985046089380592
34,DetectGPT,0.08542713576130653,0.6054226740935905
35,DetectGPT,0.08793969857487437,0.6098512062585174
36,DetectGPT,0.09045226138844221,0.6174240738128115
37,DetectGPT,0.09296482420201005,0.6193739092908963
38,DetectGPT,0.09547738701557788,0.6201122825665248
39,DetectGPT,0.09798994982914573,0.6232442960377083
40,DetectGPT,0.10050251264271357,0.6245698168864662
41,DetectGPT,0.1030150754562814,0.6277469454317465
42,DetectGPT,0.10552763826984925,0.6311324224201376
43,DetectGPT,0.10804020108341708,0.6361226028264213
44,DetectGPT,0.11055276389698492,0.6386575268319069
45,DetectGPT,0.11306532671055276,0.6398574373406478
46,DetectGPT,0.1155778895241206,0.6403173943901748
47,DetectGPT,0.11809045233768845,0.6420204138756602
48,DetectGPT,0.12060301515125628,0.6447395631846629
49,DetectGPT,0.12311557796482411,0.6491958456633644
50,DetectGPT,0.12562814077839196,0.650789728515028
51,DetectGPT,0.1281407035919598,0.6512218200172448
52,DetectGPT,0.13065326640552766,0.6533182139572714
53,DetectGPT,0.13316582921909548,0.6543209632541964
54,DetectGPT,0.13567839203266333,0.6567637202739339
55,DetectGPT,0.13819095484623117,0.6572503575965881
56,DetectGPT,0.140703517659799,0.6587420805922789
57,DetectGPT,0.14321608047336684,0.6602188239811202
58,DetectGPT,0.1457286432869347,0.6620665587649306
59,DetectGPT,0.14824120610050254,0.6640416861833651
60,DetectGPT,0.15075376891407036,0.6649263626008703
61,DetectGPT,0.1532663317276382,0.6657451695422631
62,DetectGPT,0.15577889454120605,0.6669170151110948
63,DetectGPT,0.15829145735477387,0.6693671062517318
64,DetectGPT,0.16080402016834172,0.6703033301247431
65,DetectGPT,0.16331658298190957,0.6731769333483936
66,DetectGPT,0.1658291457954774,0.6758054769534108
67,DetectGPT,0.16834170860904524,0.6788624996003465
68,DetectGPT,0.17085427142261309,0.6799292145355049
69,DetectGPT,0.1733668342361809,0.6808632930041587
70,DetectGPT,0.17587939704974875,0.6813571590049045
71,DetectGPT,0.1783919598633166,0.6851649916008535
72,DetectGPT,0.18090452267688445,0.6861162160044648
73,DetectGPT,0.18341708549045227,0.6866681753337927
74,DetectGPT,0.18592964830402012,0.6878789795733828
75,DetectGPT,0.18844221111758797,0.6884808333202662
76,DetectGPT,0.19095477393115579,0.6906397376582476
77,DetectGPT,0.19346733674472363,0.6918655028299961
78,DetectGPT,0.19597989955829148,0.6928917067547616
79,DetectGPT,0.1984924623718593,0.6934937127287832
80,DetectGPT,0.20100502518542715,0.6943572882672233
81,DetectGPT,0.203517587998995,0.6960733746982057
82,DetectGPT,0.20603015081256282,0.6972254019886112
83,DetectGPT,0.20854271362613067,0.6972548659566654
84,DetectGPT,0.2110552764396985,0.698750067692786
85,DetectGPT,0.21356783925326633,0.6996825519356327
86,DetectGPT,0.21608040206683418,0.7005946391677222
87,DetectGPT,0.21859296488040203,0.7015206238517906
88,DetectGPT,0.22110552769396985,0.7016760697275111
89,DetectGPT,0.2236180905075377,0.7025962486084839
90,DetectGPT,0.22613065332110555,0.7027647342625942
91,DetectGPT,0.2286432161346734,0.7032430143474101
92,DetectGPT,0.23115577894824121,0.7038760433564484
93,DetectGPT,0.23366834176180906,0.7046963932872021
94,DetectGPT,0.2361809045753769,0.7061083077713138
95,DetectGPT,0.23869346738894473,0.7068527182116693
96,DetectGPT,0.24120603020251258,0.7081699998440776
97,DetectGPT,0.24371859301608043,0.7089278345786614
98,DetectGPT,0.24623115582964825,0.7103784991004961
99,DetectGPT,0.2487437186432161,0.7109424299001645
100,DetectGPT,0.2512562814567839,0.7121382280804751
101,DetectGPT,0.2537688442703518,0.7122593711345138
102,DetectGPT,0.2562814070839196,0.7135807651761329
103,DetectGPT,0.25879396989748743,0.7134191329267374
104,DetectGPT,0.2613065327110553,0.7135332768604308
105,DetectGPT,0.2638190955246231,0.7140403478820638
106,DetectGPT,0.26633165833819095,0.7144273481917751
107,DetectGPT,0.2688442211517588,0.715181121222676
108,DetectGPT,0.27135678396532664,0.7162135435237487
109,DetectGPT,0.27386934677889446,0.7177739037992017
110,DetectGPT,0.27638190959246234,0.7192854721228201
111,DetectGPT,0.27889447240603016,0.7204248983312651
112,DetectGPT,0.281407035219598,0.7207739774812355
113,DetectGPT,0.28391959803316585,0.7205179624415867
114,DetectGPT,0.2864321608467337,0.7214178727222528
115,DetectGPT,0.28894472366030155,0.7213893441231571
116,DetectGPT,0.29145728647386937,0.721797498917957
117,DetectGPT,0.2939698492874372,0.7222966585029944
118,DetectGPT,0.29648241210100507,0.7228948248417879
119,DetectGPT,0.2989949749145729,0.7219671808816214
120,DetectGPT,0.3015075377281407,0.7218140107898696
121,DetectGPT,0.3040201005417086,0.7231575457016487
122,DetectGPT,0.3065326633552764,0.7236197084052236
123,DetectGPT,0.3090452261688442,0.7246427420596973
124,DetectGPT,0.3115577889824121,0.7253090327322198
125,DetectGPT,0.3140703517959799,0.7261119888366709
126,DetectGPT,0.31658291460954774,0.7265904789577489
127,DetectGPT,0.3190954774231156,0.7270932098403692
128,DetectGPT,0.32160804023668343,0.7268870028621698
129,DetectGPT,0.32412060305025125,0.7277068764057277
130,DetectGPT,0.32663316586381913,0.7273668852080107
131,DetectGPT,0.32914572867738695,0.7280977481382345
132,DetectGPT,0.33165829149095477,0.7277134416867295
133,DetectGPT,0.33417085430452265,0.7280917770600406
134,DetectGPT,0.33668341711809047,0.7278268297633914
135,DetectGPT,0.3391959799316583,0.7282845326022955
136,DetectGPT,0.34170854274522616,0.7284609696555797
137,DetectGPT,0.344221105558794,0.7283683176911009
138,DetectGPT,0.3467336683723618,0.7281209055132198
139,DetectGPT,0.3492462311859297,0.7288363979912509
140,DetectGPT,0.3517587939994975,0.7291539518932234
141,DetectGPT,0.3542713568130653,0.7293180142294672
142,DetectGPT,0.3567839196266332,0.7288707249861146
143,DetectGPT,0.359296482440201,0.7282817535241091
144,DetectGPT,0.3618090452537689,0.7279704198174253
145,DetectGPT,0.3643216080673367,0.7277146651875708
146,DetectGPT,0.36683417088090453,0.7275169489644471
147,DetectGPT,0.3693467336944724,0.7276656559453205
148,DetectGPT,0.3718592965080402,0.7278504518631618
149,DetectGPT,0.37437185932160805,0.7279939816846972
150,DetectGPT,0.3768844221351759,0.7280270163500183
151,DetectGPT,0.37939698494874374,0.7276125901745355
152,DetectGPT,0.38190954776231156,0.7273987744742143
153,DetectGPT,0.38442211057587944,0.7276714717137236
154,DetectGPT,0.38693467338944726,0.727172772393349
155,DetectGPT,0.3894472362030151,0.7273334005639036
156,DetectGPT,0.39195979901658295,0.7271091169689039
157,DetectGPT,0.3944723618301508,0.7269549548128638
158,DetectGPT,0.3969849246437186,0.727141901129823
159,DetectGPT,0.39949748745728647,0.726839472042923
160,DetectGPT,0.4020100502708543,0.7263958164175054
161,DetectGPT,0.4045226130844221,0.7266815221824334
162,DetectGPT,0.40703517589799,0.7262647299118392
163,DetectGPT,0.4095477387115578,0.7253219790689514
164,DetectGPT,0.4120603015251256,0.7252494013636621
165,DetectGPT,0.4145728643386935,0.7250359344456341
166,DetectGPT,0.4170854271522613,0.7239769493200761
167,DetectGPT,0.41959798996582914,0.7241404058298496
